               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13312,             0.12028,            0.052693,                   0,                   0,                   0,                   0,             0.13637,            0.097023,            0.056763,              0.0991,              0.0001,              0.0001
                   1,             0.13154,             0.11324,            0.052658,                   0,                   0,                   0,                   0,             0.13616,            0.098007,            0.056305,            0.097298,           0.0002976,           0.0002976
                   2,             0.13293,             0.12339,            0.052879,                   0,                   0,                   0,                   0,             0.13574,             0.09948,            0.055481,            0.095492,            0.000492,            0.000492
                   3,             0.13119,             0.12515,            0.051705,                   0,                   0,                   0,                   0,             0.13508,             0.10091,            0.054413,            0.093683,           0.0006832,           0.0006832
                   4,             0.12905,             0.11402,            0.051161,          0.00047733,              0.0025,          0.00024208,          4.8415e-05,             0.13415,               0.103,            0.052986,            0.091871,           0.0008712,           0.0008712
                   5,             0.12903,             0.12315,            0.050112,          0.00042827,              0.0025,          0.00021765,          4.3529e-05,             0.13274,             0.10493,            0.051353,            0.090056,            0.001056,            0.001056
                   6,              0.1291,             0.13257,            0.048582,          0.00035461,              0.0025,          0.00018187,          3.6374e-05,             0.13124,              0.1071,            0.049599,            0.088238,           0.0012376,           0.0012376
                   7,             0.12765,             0.13165,            0.047683,          0.00029369,              0.0025,          0.00015162,          4.5487e-05,             0.12968,             0.10928,            0.047653,            0.086416,            0.001416,            0.001416
                   8,             0.12337,             0.12406,            0.047272,          0.00027064,              0.0025,          0.00014035,          4.2106e-05,             0.12894,             0.11076,            0.046654,            0.084591,           0.0015912,           0.0015912
                   9,             0.12335,             0.14293,            0.046576,          0.00047619,               0.005,          0.00024691,           7.366e-05,             0.12805,             0.11275,            0.045525,            0.082763,           0.0017632,           0.0017632
                  10,             0.12431,             0.12762,            0.044924,          0.00041537,               0.005,          0.00021743,          5.4138e-05,             0.12703,             0.11504,            0.044327,            0.080932,            0.001932,            0.001932
                  11,             0.12363,             0.13062,            0.044044,          0.00089445,              0.0125,          0.00047646,          0.00010435,             0.12538,             0.11736,            0.042923,            0.079098,           0.0020976,           0.0020976
                  12,             0.12315,             0.13726,            0.043346,          0.00094563,               0.015,          0.00063753,          0.00013962,             0.12383,             0.11992,            0.041576,             0.07726,             0.00226,             0.00226
                  13,             0.12119,             0.13759,            0.042105,           0.0014225,               0.025,           0.0010256,          0.00029919,              0.1226,             0.12247,            0.040314,            0.075419,           0.0024192,           0.0024192
                  14,             0.12391,             0.13659,            0.041332,           0.0016043,                0.03,           0.0015481,          0.00054407,             0.12113,             0.12471,            0.039043,            0.073575,           0.0025752,           0.0025752
                  15,             0.12232,             0.14083,            0.040329,            0.001624,              0.0325,           0.0015615,          0.00040334,             0.11968,             0.12679,            0.037956,            0.071728,            0.002728,            0.002728
                  16,             0.11831,             0.14065,            0.039468,           0.0022158,            0.042667,           0.0021151,          0.00040072,              0.1183,             0.12921,            0.036915,            0.069878,           0.0028776,           0.0028776
                  17,             0.11676,             0.13552,            0.038463,           0.0022916,            0.045167,           0.0021021,          0.00041812,             0.11724,             0.13197,            0.035656,            0.068024,            0.003024,            0.003024
                  18,             0.11592,             0.13221,            0.037326,           0.0019902,            0.040167,           0.0012574,          0.00032039,             0.11587,             0.13448,            0.034481,            0.066167,           0.0031672,           0.0031672
                  19,             0.11675,             0.13139,            0.036545,            0.003872,            0.077833,           0.0028167,          0.00063818,             0.11433,             0.13712,             0.03315,            0.064307,           0.0033072,           0.0033072
                  20,             0.11841,             0.15405,            0.035025,           0.0046763,            0.095333,           0.0042394,          0.00090473,             0.11302,             0.13924,            0.031788,            0.062444,            0.003444,            0.003444
                  21,             0.11538,             0.15694,            0.034462,           0.0050111,             0.10033,           0.0051241,           0.0011239,             0.11137,             0.14112,            0.030458,            0.060578,           0.0035776,           0.0035776
                  22,             0.11403,             0.14617,            0.032979,           0.0050952,             0.10085,           0.0057483,           0.0012032,             0.10998,             0.14198,            0.029137,            0.058708,            0.003708,            0.003708
                  23,              0.1115,             0.14103,            0.031321,           0.0062165,             0.12102,            0.007842,           0.0016532,             0.10888,             0.14223,            0.027742,            0.056835,           0.0038352,           0.0038352
                  24,             0.11176,             0.14656,             0.03054,           0.0068305,             0.12852,            0.011485,           0.0020925,             0.10752,              0.1423,            0.026514,            0.054959,           0.0039592,           0.0039592
                  25,             0.11024,             0.14566,            0.030111,            0.011324,              0.0775,            0.011194,           0.0023926,             0.10995,             0.14027,            0.025226,             0.05308,             0.00408,             0.00408
                  26,             0.11207,             0.13558,            0.029239,             0.23145,              0.0475,            0.021419,           0.0042603,              0.1123,             0.13831,             0.02387,            0.051198,           0.0041976,           0.0041976
                  27,             0.11605,             0.13861,            0.027721,             0.23145,              0.0475,            0.021419,           0.0042603,              0.1123,             0.13831,             0.02387,            0.049312,            0.004312,            0.004312
                  28,             0.10857,             0.12497,            0.029398,             0.23812,              0.0425,            0.024032,           0.0048405,             0.10575,             0.13924,            0.022701,            0.047423,           0.0044232,           0.0044232
                  29,             0.10881,             0.13666,            0.027779,             0.44615,              0.0475,            0.026525,           0.0059149,             0.10262,             0.13879,             0.02146,            0.045531,           0.0045312,           0.0045312
                  30,             0.10559,             0.13492,            0.026576,             0.44615,              0.0475,            0.026525,           0.0059149,             0.10262,             0.13879,             0.02146,            0.043636,            0.004636,            0.004636
                  31,             0.10666,             0.13687,            0.026794,             0.64575,            0.054134,            0.029514,           0.0070874,             0.11037,             0.13655,            0.020369,            0.041738,           0.0047376,           0.0047376
                  32,             0.10868,             0.13648,            0.025024,             0.64213,            0.060711,            0.029134,           0.0079885,             0.11394,             0.13826,            0.019182,            0.039836,            0.004836,            0.004836
                  33,              0.1141,             0.14639,            0.024085,             0.64213,            0.060711,            0.029134,           0.0079885,             0.11394,             0.13826,            0.019182,            0.037931,           0.0049312,           0.0049312
                  34,              0.1159,              0.1367,            0.023449,             0.85627,                0.07,            0.043114,            0.010874,             0.11117,             0.14232,            0.018249,            0.036023,           0.0050232,           0.0050232
                  35,             0.11285,             0.13187,            0.023524,             0.84444,               0.055,            0.030968,           0.0075243,             0.10761,             0.14801,            0.017395,            0.034112,            0.005112,            0.005112
                  36,             0.10357,             0.13381,            0.021758,             0.84444,               0.055,            0.030968,           0.0075243,             0.10761,             0.14801,            0.017395,            0.032198,           0.0051976,           0.0051976
                  37,             0.10666,             0.13315,            0.022233,             0.85966,            0.076531,            0.062962,            0.016538,             0.11426,             0.14651,            0.016814,             0.03028,             0.00528,             0.00528
                  38,             0.10613,             0.13762,            0.021886,             0.63041,                0.12,            0.038581,           0.0087657,             0.10547,             0.15269,             0.01593,            0.028359,           0.0053592,           0.0053592
                  39,             0.10371,              0.1331,            0.020418,             0.63041,                0.12,            0.038581,           0.0087657,             0.10547,             0.15269,             0.01593,            0.026435,           0.0054352,           0.0054352
                  40,             0.10264,             0.14041,            0.020213,             0.65127,              0.1325,            0.068447,            0.017061,            0.099801,             0.15648,            0.015386,            0.024508,            0.005508,            0.005508
                  41,            0.098217,             0.14558,            0.019617,            0.029707,             0.25825,            0.034043,           0.0080548,             0.10726,               0.155,            0.014752,            0.022578,           0.0055776,           0.0055776
                  42,             0.10742,             0.12967,            0.018696,            0.029707,             0.25825,            0.034043,           0.0080548,             0.10726,               0.155,            0.014752,            0.020644,            0.005644,            0.005644
                  43,             0.10306,              0.1192,            0.019688,            0.050458,             0.22413,            0.046454,            0.011432,             0.10751,             0.13972,            0.014029,            0.018707,           0.0057072,           0.0057072
                  44,            0.098478,             0.13413,            0.017285,            0.050458,             0.22413,            0.046454,            0.011432,             0.10751,             0.13972,            0.014029,            0.016767,           0.0057672,           0.0057672
                  45,            0.098616,             0.14277,            0.019286,            0.053427,             0.27693,            0.074906,            0.017094,             0.10652,             0.14876,            0.013712,            0.014824,            0.005824,            0.005824
                  46,              0.1036,             0.12499,            0.018607,            0.053427,             0.27693,            0.074906,            0.017094,             0.10652,             0.14876,            0.013712,            0.012878,           0.0058776,           0.0058776
                  47,             0.10565,             0.13042,            0.017703,             0.29304,             0.22404,             0.09143,            0.019917,             0.10151,             0.14683,             0.01333,            0.010928,            0.005928,            0.005928
                  48,            0.098465,             0.13073,            0.016966,             0.29304,             0.22404,             0.09143,            0.019917,             0.10151,             0.14683,             0.01333,           0.0089752,           0.0059752,           0.0059752
                  49,            0.099288,             0.13877,            0.016366,               0.555,             0.20386,             0.11156,             0.02469,             0.10872,             0.14656,            0.012971,           0.0070192,           0.0060192,           0.0060192
                  50,              0.0989,             0.13862,            0.016579,               0.555,             0.20386,             0.11156,             0.02469,             0.10872,             0.14656,            0.012971,               0.006,               0.006,               0.006
                  51,             0.10517,             0.13875,             0.01586,             0.31355,             0.27244,             0.15451,            0.037435,            0.092774,             0.15989,            0.012744,               0.006,               0.006,               0.006
                  52,            0.093983,             0.12915,            0.015491,             0.31355,             0.27244,             0.15451,            0.037435,            0.092774,             0.15989,            0.012744,             0.00592,             0.00592,             0.00592
                  53,            0.092957,             0.12625,            0.016602,             0.58786,             0.19154,             0.15735,            0.039778,             0.10511,             0.15007,            0.012366,             0.00584,             0.00584,             0.00584
                  54,            0.097754,             0.13907,            0.016725,             0.58786,             0.19154,             0.15735,            0.039778,             0.10511,             0.15007,            0.012366,             0.00576,             0.00576,             0.00576
                  55,            0.095541,             0.13925,            0.016385,             0.59963,             0.18156,             0.18919,             0.05172,            0.091393,             0.15556,            0.012368,             0.00568,             0.00568,             0.00568
                  56,            0.093725,             0.13756,            0.015717,             0.59963,             0.18156,             0.18919,             0.05172,            0.091393,             0.15556,            0.012368,              0.0056,              0.0056,              0.0056
                  57,            0.091963,              0.1377,            0.016603,             0.59968,             0.21302,              0.2044,             0.05842,            0.094051,             0.16327,            0.012207,             0.00552,             0.00552,             0.00552
                  58,             0.08988,             0.14675,            0.014265,             0.59968,             0.21302,              0.2044,             0.05842,            0.094051,             0.16327,            0.012207,             0.00544,             0.00544,             0.00544
                  59,            0.090484,             0.12769,            0.015202,             0.53155,             0.20483,             0.18089,            0.053835,            0.092391,             0.15198,            0.011824,             0.00536,             0.00536,             0.00536
                  60,            0.090528,             0.14995,            0.015981,             0.53155,             0.20483,             0.18089,            0.053835,            0.092391,             0.15198,            0.011824,             0.00528,             0.00528,             0.00528
                  61,            0.091377,             0.16009,            0.015982,              0.5755,             0.21025,             0.18262,            0.055072,            0.093642,             0.17073,            0.011801,              0.0052,              0.0052,              0.0052
                  62,            0.082345,             0.13142,            0.016397,              0.5755,             0.21025,             0.18262,            0.055072,            0.093642,             0.17073,            0.011801,             0.00512,             0.00512,             0.00512
                  63,            0.084214,             0.13884,            0.014729,             0.58163,             0.22014,             0.18392,            0.054757,             0.08893,             0.16407,            0.011601,             0.00504,             0.00504,             0.00504
                  64,            0.092069,             0.12353,             0.01371,             0.58163,             0.22014,             0.18392,            0.054757,             0.08893,             0.16407,            0.011601,             0.00496,             0.00496,             0.00496
                  65,            0.089132,             0.14065,             0.01531,             0.56683,             0.23903,             0.21233,            0.059753,            0.086654,             0.15604,            0.011198,             0.00488,             0.00488,             0.00488
                  66,             0.07889,             0.15007,            0.015785,             0.56683,             0.23903,             0.21233,            0.059753,            0.086654,             0.15604,            0.011198,              0.0048,              0.0048,              0.0048
                  67,            0.082676,             0.13194,            0.014005,             0.57519,              0.2396,             0.22543,            0.068574,            0.079499,             0.15728,            0.011045,             0.00472,             0.00472,             0.00472
                  68,            0.083335,             0.13569,            0.013646,             0.57519,              0.2396,             0.22543,            0.068574,            0.079499,             0.15728,            0.011045,             0.00464,             0.00464,             0.00464
                  69,            0.083485,             0.15036,            0.014423,             0.59521,             0.23909,             0.25166,            0.076175,            0.093111,             0.16024,            0.010732,             0.00456,             0.00456,             0.00456
                  70,            0.082699,             0.14048,            0.015583,             0.59521,             0.23909,             0.25166,            0.076175,            0.093111,             0.16024,            0.010732,             0.00448,             0.00448,             0.00448
                  71,            0.081809,             0.14097,            0.013803,             0.56104,             0.27714,             0.25697,            0.085295,             0.07141,             0.15944,            0.010613,              0.0044,              0.0044,              0.0044
                  72,            0.080578,              0.1506,            0.012754,             0.56104,             0.27714,             0.25697,            0.085295,             0.07141,             0.15944,            0.010613,             0.00432,             0.00432,             0.00432
                  73,            0.077863,             0.14017,            0.012956,             0.55563,             0.30056,             0.27523,            0.091329,            0.090658,             0.15667,            0.010212,             0.00424,             0.00424,             0.00424
                  74,             0.07917,             0.14452,             0.01305,             0.55563,             0.30056,             0.27523,            0.091329,            0.090658,             0.15667,            0.010212,             0.00416,             0.00416,             0.00416
                  75,            0.080881,             0.13296,            0.013255,             0.55426,             0.26564,             0.23247,            0.080325,            0.071226,             0.15837,            0.010143,             0.00408,             0.00408,             0.00408
                  76,            0.077903,             0.14459,             0.01165,             0.55426,             0.26564,             0.23247,            0.080325,            0.071226,             0.15837,            0.010143,               0.004,               0.004,               0.004
                  77,            0.073649,             0.15283,            0.014385,               0.581,             0.29364,             0.25143,            0.086112,            0.076139,             0.16692,           0.0098829,             0.00392,             0.00392,             0.00392
                  78,            0.069896,             0.15963,            0.012059,               0.581,             0.29364,             0.25143,            0.086112,            0.076139,             0.16692,           0.0098829,             0.00384,             0.00384,             0.00384
                  79,            0.072362,             0.15976,            0.013376,             0.56985,             0.28706,             0.24554,            0.081664,            0.070493,             0.16714,            0.009697,             0.00376,             0.00376,             0.00376
                  80,            0.071752,              0.1398,            0.014295,             0.56985,             0.28706,             0.24554,            0.081664,            0.070493,             0.16714,            0.009697,             0.00368,             0.00368,             0.00368
                  81,            0.070972,             0.13068,              0.0128,             0.57132,             0.29176,              0.2376,            0.081373,            0.070241,             0.16481,           0.0097108,              0.0036,              0.0036,              0.0036
                  82,            0.072343,             0.14409,            0.012291,             0.57132,             0.29176,              0.2376,            0.081373,            0.070241,             0.16481,           0.0097108,             0.00352,             0.00352,             0.00352
                  83,            0.073413,             0.14535,            0.011871,             0.57823,             0.28344,             0.24836,            0.086474,            0.074926,             0.16228,           0.0094771,             0.00344,             0.00344,             0.00344
                  84,             0.07132,             0.14571,            0.012083,             0.57823,             0.28344,             0.24836,            0.086474,            0.074926,             0.16228,           0.0094771,             0.00336,             0.00336,             0.00336
                  85,            0.072591,             0.16022,            0.012769,             0.63194,             0.29877,              0.2979,             0.11121,             0.06941,             0.16148,            0.009306,             0.00328,             0.00328,             0.00328
                  86,            0.069548,             0.15785,            0.012005,             0.63194,             0.29877,              0.2979,             0.11121,             0.06941,             0.16148,            0.009306,              0.0032,              0.0032,              0.0032
                  87,            0.068793,             0.15517,            0.013371,             0.61173,             0.27921,             0.27319,             0.10018,            0.070978,             0.16107,           0.0090957,             0.00312,             0.00312,             0.00312
                  88,            0.070863,             0.14289,             0.01288,             0.61173,             0.27921,             0.27319,             0.10018,            0.070978,             0.16107,           0.0090957,             0.00304,             0.00304,             0.00304
                  89,            0.069653,             0.13598,            0.012895,             0.18415,             0.39717,              0.2492,            0.082365,            0.067264,             0.15718,           0.0089498,             0.00296,             0.00296,             0.00296
                  90,            0.070253,             0.15476,            0.011979,             0.18415,             0.39717,              0.2492,            0.082365,            0.067264,             0.15718,           0.0089498,             0.00288,             0.00288,             0.00288
                  91,            0.069084,             0.14239,            0.011355,             0.63434,             0.27815,               0.303,             0.10674,            0.066941,              0.1545,           0.0087748,              0.0028,              0.0028,              0.0028
                  92,            0.065948,             0.13714,              0.0115,             0.63434,             0.27815,               0.303,             0.10674,            0.066941,              0.1545,           0.0087748,             0.00272,             0.00272,             0.00272
                  93,            0.069542,             0.14941,            0.012089,             0.64186,             0.29788,             0.31186,             0.11984,            0.062564,             0.15523,           0.0086451,             0.00264,             0.00264,             0.00264
                  94,            0.068643,             0.15743,            0.013196,             0.64186,             0.29788,             0.31186,             0.11984,            0.062564,             0.15523,           0.0086451,             0.00256,             0.00256,             0.00256
                  95,            0.068716,             0.16081,            0.010573,              0.5768,             0.33859,             0.26361,            0.090711,            0.074579,             0.15782,           0.0085115,             0.00248,             0.00248,             0.00248
                  96,            0.073162,             0.15348,            0.011003,              0.5768,             0.33859,             0.26361,            0.090711,            0.074579,             0.15782,           0.0085115,              0.0024,              0.0024,              0.0024
                  97,            0.071768,              0.1634,             0.01072,             0.65137,             0.35724,             0.32989,             0.12691,            0.059732,             0.16074,           0.0084367,             0.00232,             0.00232,             0.00232
                  98,            0.062091,              0.1322,            0.010898,             0.65137,             0.35724,             0.32989,             0.12691,            0.059732,             0.16074,           0.0084367,             0.00224,             0.00224,             0.00224
                  99,            0.065521,             0.15399,            0.011168,              0.6419,             0.34599,             0.32919,             0.12393,            0.061775,             0.15965,           0.0083346,             0.00216,             0.00216,             0.00216
